PLAYER_NAME,TEAM_ABBREVIATION,GAME_SCORE_AVG,MIN_AVG
Max Strus,CLE,7.75,26.5
Lindell Wigginton,MIL,3.13,9.3
Bol Bol,PHX,3.7399999999999993,9.4
Zion Williamson,NOP,16.11,30.3
RJ Barrett,TOR,14.080000000000002,29.8
Cam Reddish,LAL,1.4200000000000004,13.9
Ja Morant,MEM,10.0,28.4
De'Andre Hunter,CLE,6.969999999999999,28.2
Coby White,CHI,12.870000000000001,28.0
Jarrett Culver,ATL,3.35,13.9
Brandon Clarke,MEM,10.76,19.0
Darius Garland,CLE,11.559999999999999,30.2
Jaxson Hayes,LAL,6.529999999999999,17.2
Nickeil Alexander-Walker,ATL,15.23,34.7
Tyler Herro,MIA,18.44,31.7
Keldon Johnson,SAS,11.319999999999999,22.7
Romeo Langford,SAS,4.03,18.6
Nassir Little,PHX,1.0499999999999996,3.0
Chuma Okeke,CLE,6.669999999999999,20.0
KZ Okpala,SAC,0.4800000000000001,5.3
Kevin Porter Jr.,MIL,18.169999999999998,28.9
Charles Bassey,MEM,3.8899999999999997,10.6
Darius Bazley,UTA,6.580000000000001,17.7
Ignas Brazdeikis,ORL,6.76,23.7
Moses Brown,DAL,4.68,9.9
Nic Claxton,BKN,12.51,30.7
Luguentz Dort,OKC,5.97,25.9
Devon Dotson,WAS,0.9,7.3
Daniel Gafford,DAL,9.0,23.4
Quentin Grimes,PHI,11.629999999999999,36.5
Kyle Guy,MIA,0.04000000000000005,4.8
Jaylen Hoard,OKC,14.2,34.285714285714285
Talen Horton-Tucker,CHI,8.429999999999998,17.8
Ty Jerome,CLE,12.820000000000002,21.8
Cameron Johnson,DEN,11.34,36.7
Mfiondu Kabengele,BOS,1.675,9.25
Louis King,PHI,3.0100000000000002,11.3
Jalen McDaniels,WAS,1.7200000000000002,11.4
Jaylen Nowell,NOP,4.109999999999999,18.6
Jordan Nwora,TOR,7.279999999999999,19.9
Miye Oni,UTA,-0.14999999999999997,2.9
Eric Paschall,UTA,4.72,11.8
Jordan Poole,NOP,10.580000000000002,28.4
Neemias Queta,BOS,12.25,24.8
Naz Reid,MIN,12.77,29.3
Isaiah Roby,SAS,2.67,13.2
Luka Samanic,UTA,4.619999999999999,16.8
Admiral Schofield,ORL,0.97,3.5
Matisse Thybulle,POR,8.24,21.1
Killian Tillie,MEM,1.17,10.7
Tremont Waters,WAS,2.433333333333333,16.666666666666668
Quinndary Weatherspoon,GSW,1.6800000000000002,5.8
Grant Williams,CHA,9.489999999999998,31.9
Dylan Windler,ATL,2.7,8.9
Deividas Sirvydis,DET,0.3333333333333333,9.0
Didi Louzada,POR,2.2777777777777772,14.333333333333334
Jarrell Brantley,UTA,4.475,10.0
Marques Bolden,CHA,4.359999999999999,12.0
Armoni Brooks,BKN,2.46,10.3
Charlie Brown Jr.,NYK,-0.18000000000000008,4.1
Devontae Cacok,SAS,3.35,8.9
John Konchar,MEM,4.89,15.0
Garrison Mathews,IND,4.319999999999999,15.5
Rayjon Tucker,MIL,5.58,14.2
Dean Wade,CLE,5.9,22.7
Chris Silva,DAL,2.3099999999999996,9.1
Matt Thomas,CHI,1.9,5.8
Javonte Green,DET,3.6599999999999993,11.6
Dakota Mathias,MEM,0.75,2.8333333333333335
Hassani Gravett,ORL,5.3,21.5
